Game Date,Player Name,Position,Team,Opponent,Period 1 - SOG,Period 2 - SOG,Period 3 - SOG,Total SOG,Period 1 - Blocked,Period 1 - Missed,Period 1 - Failed Shots,Period 2 - Blocked,Period 2 - Missed,Period 2 - Failed Shots,Period 3 - Blocked,Period 3 - Missed,Period 3 - Failed Shots,SUM of Failed Shots,SUM of Shot Attempts,Shot %,Failed Shot %
10/16/2024,Henri Jokiharju,D,Buffalo Sabres,Pittsburgh Penguins,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/16/2024,Peyton Krebs,C,Buffalo Sabres,Pittsburgh Penguins,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,100
10/16/2024,Sam Lafferty,C,Buffalo Sabres,Pittsburgh Penguins,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,100
10/16/2024,Beck Malenstyn,LW,Buffalo Sabres,Pittsburgh Penguins,0,0,0,0,1,1,2,0,0,0,0,1,1,3,3,0,100
10/16/2024,Ryan McLeod,C,Buffalo Sabres,Pittsburgh Penguins,1,0,1,2,2,0,2,0,0,0,1,0,1,3,5,40,60
10/16/2024,John-Jason Peterka,RW,Buffalo Sabres,Pittsburgh Penguins,2,1,1,4,0,0,0,1,1,2,2,0,2,4,8,50,50
10/16/2024,Owen Power,D,Buffalo Sabres,Pittsburgh Penguins,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,100,0
10/16/2024,Jack Quinn,RW,Buffalo Sabres,Pittsburgh Penguins,1,0,0,1,0,1,1,1,0,1,1,0,1,3,4,25,75
10/16/2024,Mattias Samuelsson,D,Buffalo Sabres,Pittsburgh Penguins,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/16/2024,Tage Thompson,C,Buffalo Sabres,Pittsburgh Penguins,1,0,2,3,0,2,2,0,0,0,0,0,0,2,5,60,40
10/16/2024,Alex Tuch,RW,Buffalo Sabres,Pittsburgh Penguins,0,2,3,5,0,0,0,0,0,0,1,0,1,1,6,83.33333333,16.66666667
10/16/2024,Jason Zucker,LW,Buffalo Sabres,Pittsburgh Penguins,0,1,0,1,0,0,0,1,0,1,1,0,1,2,3,33.33333333,66.66666667
,,,,,,,,,,,,,,,,,,,,,
10/17/2024,Zach Benson,LW,Buffalo Sabres,Columbus Blue Jackets,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/17/2024,Bowen Byram,D,Buffalo Sabres,Columbus Blue Jackets,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,100
10/17/2024,Connor Clifton,D,Buffalo Sabres,Columbus Blue Jackets,0,1,0,1,0,0,0,1,0,1,0,0,0,1,2,50,50
10/17/2024,Dylan Cozens,C,Buffalo Sabres,Columbus Blue Jackets,2,1,1,4,0,0,0,1,0,1,0,0,0,1,5,80,20
10/17/2024,Rasmus Dahlin,D,Buffalo Sabres,Columbus Blue Jackets,0,1,0,1,2,0,2,2,1,3,0,1,1,6,7,14.28571429,85.71428571
10/17/2024,Jordan Greenway,LW,Buffalo Sabres,Columbus Blue Jackets,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,100
10/17/2024,Henri Jokiharju,D,Buffalo Sabres,Columbus Blue Jackets,0,0,1,1,0,0,0,0,0,0,1,0,1,1,2,50,50
10/17/2024,Peyton Krebs,C,Buffalo Sabres,Columbus Blue Jackets,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,100
10/17/2024,Jiri Kulich,C,Buffalo Sabres,Columbus Blue Jackets,2,1,2,5,0,1,1,0,0,0,2,1,3,4,9,55.55555556,44.44444444
10/17/2024,Sam Lafferty,C,Buffalo Sabres,Columbus Blue Jackets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
